ORF	KEGGID	Pathway
YOL133W	4120	Ubiquitin mediated proteolysis
YOL133W	4141	Protein processing in endoplasmic reticulum
YOL127W	3010	Ribosome
YOL126C	20	Citrate cycle (TCA cycle)
YOL126C	620	Pyruvate metabolism
YOL126C	630	Glyoxylate and dicarboxylate metabolism
YOL126C	1100	Metabolic pathways
YOL126C	1110	Biosynthesis of secondary metabolites
YOL123W	3015	mRNA surveillance pathway
YOL121C	3010	Ribosome
YOL120C	3010	Ribosome
YOL115W	3018	RNA degradation
tG(UCC)O	970	Aminoacyl-tRNA biosynthesis
tT(AGU)O1	970	Aminoacyl-tRNA biosynthesis
YOL105C	4011	MAPK signaling pathway - yeast
YOL097C	380	Tryptophan metabolism
YOL097C	970	Aminoacyl-tRNA biosynthesis
YOL096C	130	Ubiquinone and other terpenoid-quinone biosynthesis
YOL096C	1100	Metabolic pathways
YOL096C	1110	Biosynthesis of secondary metabolites
YOL094C	3030	DNA replication
YOL094C	3420	Nucleotide excision repair
YOL094C	3430	Mismatch repair
YOL090W	3430	Mismatch repair
YOL086C	10	Glycolysis / Gluconeogenesis
YOL086C	71	Fatty acid degradation
YOL086C	350	Tyrosine metabolism
YOL086C	1100	Metabolic pathways
YOL086C	1110	Biosynthesis of secondary metabolites
YOL077W-A	190	Oxidative phosphorylation
YOL077W-A	1100	Metabolic pathways
YOL065C	562	Inositol phosphate metabolism
YOL065C	1100	Metabolic pathways
YOL065C	4070	Phosphatidylinositol signaling system
YOL064C	920	Sulfur metabolism
YOL064C	1100	Metabolic pathways
YOL061W	30	Pentose phosphate pathway
YOL061W	230	Purine metabolism
YOL061W	1100	Metabolic pathways
YOL061W	1110	Biosynthesis of secondary metabolites
YOL059W	564	Glycerophospholipid metabolism
YOL058W	250	Alanine, aspartate and glutamate metabolism
YOL058W	330	Arginine and proline metabolism
YOL058W	1100	Metabolic pathways
YOL058W	1110	Biosynthesis of secondary metabolites
YOL055C	730	Thiamine metabolism
YOL055C	1100	Metabolic pathways
tG(GCC)O1	970	Aminoacyl-tRNA biosynthesis
tN(GUU)O1	970	Aminoacyl-tRNA biosynthesis
YOL052C	270	Cysteine and methionine metabolism
YOL052C	330	Arginine and proline metabolism
YOL052C	1100	Metabolic pathways
YOL049W	480	Glutathione metabolism
YOL049W	1100	Metabolic pathways
YOL043C	3410	Base excision repair
YOL040C	3010	Ribosome
YOL039W	3010	Ribosome
YOL038W	3050	Proteasome
YOL033W	860	Porphyrin and chlorophyll metabolism
YOL033W	970	Aminoacyl-tRNA biosynthesis
YOL033W	1100	Metabolic pathways
YOL033W	1110	Biosynthesis of secondary metabolites
YOL031C	4141	Protein processing in endoplasmic reticulum
tS(GCU)O	970	Aminoacyl-tRNA biosynthesis
tG(GCC)O2	970	Aminoacyl-tRNA biosynthesis
YOL021C	3018	RNA degradation
tY(GUA)O	970	Aminoacyl-tRNA biosynthesis
YOL018C	4130	SNARE interactions in vesicular transport
tP(UGG)O1	970	Aminoacyl-tRNA biosynthesis
YOL013C	4120	Ubiquitin mediated proteolysis
YOL013C	4141	Protein processing in endoplasmic reticulum
YOL011W	564	Glycerophospholipid metabolism
YOL010W	3008	Ribosome biogenesis in eukaryotes
YOL005C	230	Purine metabolism
YOL005C	240	Pyrimidine metabolism
YOL005C	1100	Metabolic pathways
YOL005C	3020	RNA polymerase
YOL001W	4111	Cell cycle - yeast
YOR001W	3018	RNA degradation
YOR002W	510	N-Glycan biosynthesis
YOR002W	1100	Metabolic pathways
YOR005C	3450	Non-homologous end-joining
tR(ACG)O	970	Aminoacyl-tRNA biosynthesis
YOR008C	4011	MAPK signaling pathway - yeast
tT(AGU)O2	970	Aminoacyl-tRNA biosynthesis
YOR014W	3015	mRNA surveillance pathway
YOR014W	4113	Meiosis - yeast
YOR026W	4111	Cell cycle - yeast
YOR033C	3430	Mismatch repair
YOR036W	4130	SNARE interactions in vesicular transport
YOR036W	4145	Phagosome
YOR039W	3008	Ribosome biogenesis in eukaryotes
YOR040W	620	Pyruvate metabolism
YOR048C	3008	Ribosome biogenesis in eukaryotes
YOR048C	3018	RNA degradation
YOR056C	3008	Ribosome biogenesis in eukaryotes
tK(UUU)O	970	Aminoacyl-tRNA biosynthesis
YOR061W	3008	Ribosome biogenesis in eukaryotes
YOR063W	3010	Ribosome
YOR065W	190	Oxidative phosphorylation
YOR065W	1100	Metabolic pathways
YOR067C	510	N-Glycan biosynthesis
YOR067C	1100	Metabolic pathways
tP(UGG)O2	970	Aminoacyl-tRNA biosynthesis
YOR073W	4113	Meiosis - yeast
YOR074C	240	Pyrimidine metabolism
YOR074C	670	One carbon pool by folate
YOR074C	1100	Metabolic pathways
YOR075W	4130	SNARE interactions in vesicular transport
YOR075W	4145	Phagosome
YOR076C	3015	mRNA surveillance pathway
YOR076C	3018	RNA degradation
YOR083W	4111	Cell cycle - yeast
YOR085W	510	N-Glycan biosynthesis
YOR085W	513	Various types of N-glycan biosynthesis
YOR085W	1100	Metabolic pathways
YOR085W	4141	Protein processing in endoplasmic reticulum
tN(GUU)O2	970	Aminoacyl-tRNA biosynthesis
YOR095C	30	Pentose phosphate pathway
YOR095C	1100	Metabolic pathways
YOR095C	1110	Biosynthesis of secondary metabolites
YOR096W	3010	Ribosome
YOR099W	514	Other types of O-glycan biosynthesis
YOR103C	510	N-Glycan biosynthesis
YOR103C	513	Various types of N-glycan biosynthesis
YOR103C	1100	Metabolic pathways
YOR103C	4141	Protein processing in endoplasmic reticulum
YOR106W	4130	SNARE interactions in vesicular transport
YOR106W	4145	Phagosome
YOR109W	562	Inositol phosphate metabolism
YOR109W	1100	Metabolic pathways
YOR109W	4070	Phosphatidylinositol signaling system
YOR116C	230	Purine metabolism
YOR116C	240	Pyrimidine metabolism
YOR116C	1100	Metabolic pathways
YOR116C	3020	RNA polymerase
YOR117W	3050	Proteasome
YOR119C	3008	Ribosome biogenesis in eukaryotes
YOR120W	51	Fructose and mannose metabolism
YOR120W	650	Butanoate metabolism
YOR120W	1100	Metabolic pathways
YOR125C	130	Ubiquinone and other terpenoid-quinone biosynthesis
YOR125C	1100	Metabolic pathways
YOR125C	1110	Biosynthesis of secondary metabolites
YOR128C	230	Purine metabolism
YOR128C	1100	Metabolic pathways
YOR128C	1110	Biosynthesis of secondary metabolites
tD(GUC)O	970	Aminoacyl-tRNA biosynthesis
YOR136W	20	Citrate cycle (TCA cycle)
YOR136W	1100	Metabolic pathways
YOR136W	1110	Biosynthesis of secondary metabolites
YOR142W	20	Citrate cycle (TCA cycle)
YOR142W	640	Propanoate metabolism
YOR142W	1100	Metabolic pathways
YOR142W	1110	Biosynthesis of secondary metabolites
tG(CCC)O	970	Aminoacyl-tRNA biosynthesis
YOR143C	730	Thiamine metabolism
YOR143C	1100	Metabolic pathways
YOR149C	563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
YOR150W	3010	Ribosome
YOR151C	230	Purine metabolism
YOR151C	240	Pyrimidine metabolism
YOR151C	1100	Metabolic pathways
YOR151C	3020	RNA polymerase
YOR153W	2010	ABC transporters
YOR157C	3050	Proteasome
YOR159C	3040	Spliceosome
YOR167C	3010	Ribosome
YOR168W	970	Aminoacyl-tRNA biosynthesis
YOR168W	1100	Metabolic pathways
YOR171C	600	Sphingolipid metabolism
YOR171C	1100	Metabolic pathways
YOR175C	561	Glycerolipid metabolism
YOR175C	564	Glycerophospholipid metabolism
YOR175C	565	Ether lipid metabolism
YOR175C	1100	Metabolic pathways
YOR176W	860	Porphyrin and chlorophyll metabolism
YOR176W	1100	Metabolic pathways
YOR176W	1110	Biosynthesis of secondary metabolites
tV(AAC)O	970	Aminoacyl-tRNA biosynthesis
YOR182C	3010	Ribosome
YOR184W	260	Glycine, serine and threonine metabolism
YOR184W	680	Methane metabolism
YOR184W	750	Vitamin B6 metabolism
YOR184W	1100	Metabolic pathways
YOR185C	3008	Ribosome biogenesis in eukaryotes
YOR185C	3013	RNA transport
YOR190W	500	Starch and sucrose metabolism
tM(CAU)O1	970	Aminoacyl-tRNA biosynthesis
YOR194C	3022	Basal transcription factors
YOR195W	4111	Cell cycle - yeast
YOR195W	4113	Meiosis - yeast
YOR196C	785	Lipoic acid metabolism
YOR196C	1100	Metabolic pathways
YOR201C	340	Histidine metabolism
YOR201C	350	Tyrosine metabolism
YOR202W	340	Histidine metabolism
YOR202W	1100	Metabolic pathways
YOR202W	1110	Biosynthesis of secondary metabolites
YOR207C	230	Purine metabolism
YOR207C	240	Pyrimidine metabolism
YOR207C	1100	Metabolic pathways
YOR207C	3020	RNA polymerase
YOR209C	760	Nicotinate and nicotinamide metabolism
YOR209C	1100	Metabolic pathways
YOR210W	230	Purine metabolism
YOR210W	240	Pyrimidine metabolism
YOR210W	1100	Metabolic pathways
YOR210W	3020	RNA polymerase
YOR212W	4011	MAPK signaling pathway - yeast
YOR217W	3030	DNA replication
YOR217W	3420	Nucleotide excision repair
YOR217W	3430	Mismatch repair
YOR224C	230	Purine metabolism
YOR224C	240	Pyrimidine metabolism
YOR224C	1100	Metabolic pathways
YOR224C	3020	RNA polymerase
YOR231W	4011	MAPK signaling pathway - yeast
YOR234C	3010	Ribosome
YOR236W	670	One carbon pool by folate
YOR236W	790	Folate biosynthesis
YOR236W	1100	Metabolic pathways
YOR241W	790	Folate biosynthesis
YOR241W	1100	Metabolic pathways
YOR249C	4111	Cell cycle - yeast
YOR249C	4113	Meiosis - yeast
YOR249C	4120	Ubiquitin mediated proteolysis
YOR250C	3015	mRNA surveillance pathway
YOR251C	270	Cysteine and methionine metabolism
YOR251C	1100	Metabolic pathways
YOR251C	4122	Sulfur relay system
YOR254C	3060	Protein export
YOR254C	4141	Protein processing in endoplasmic reticulum
YOR259C	3050	Proteasome
YOR260W	3013	RNA transport
YOR261C	3050	Proteasome
YOR270C	190	Oxidative phosphorylation
YOR270C	1100	Metabolic pathways
YOR270C	4145	Phagosome
YOR274W	1100	Metabolic pathways
YOR274W	1110	Biosynthesis of secondary metabolites
YOR275C	4144	Endocytosis
YOR278W	860	Porphyrin and chlorophyll metabolism
YOR278W	1100	Metabolic pathways
YOR278W	1110	Biosynthesis of secondary metabolites
YOR288C	4141	Protein processing in endoplasmic reticulum
tA(UGC)O	970	Aminoacyl-tRNA biosynthesis
YOR293W	3010	Ribosome
YOR303W	240	Pyrimidine metabolism
YOR303W	250	Alanine, aspartate and glutamate metabolism
YOR303W	1100	Metabolic pathways
YOR308C	3040	Spliceosome
YOR310C	3008	Ribosome biogenesis in eukaryotes
YOR312C	3010	Ribosome
YOR313C	4113	Meiosis - yeast
YOR317W	71	Fatty acid degradation
YOR317W	1100	Metabolic pathways
YOR317W	4146	Peroxisome
YOR319W	3040	Spliceosome
YOR321W	514	Other types of O-glycan biosynthesis
YOR323C	330	Arginine and proline metabolism
YOR323C	1100	Metabolic pathways
YOR327C	4130	SNARE interactions in vesicular transport
YOR330C	1100	Metabolic pathways
YOR332W	190	Oxidative phosphorylation
YOR332W	1100	Metabolic pathways
YOR332W	4145	Phagosome
YOR335C	970	Aminoacyl-tRNA biosynthesis
YOR336W	4141	Protein processing in endoplasmic reticulum
YOR339C	4120	Ubiquitin mediated proteolysis
YOR340C	230	Purine metabolism
YOR340C	240	Pyrimidine metabolism
YOR340C	1100	Metabolic pathways
YOR340C	3020	RNA polymerase
YOR341W	230	Purine metabolism
YOR341W	240	Pyrimidine metabolism
YOR341W	1100	Metabolic pathways
YOR341W	3020	RNA polymerase
tM(CAU)O2	970	Aminoacyl-tRNA biosynthesis
tP(UGG)O3	970	Aminoacyl-tRNA biosynthesis
YOR347C	10	Glycolysis / Gluconeogenesis
YOR347C	230	Purine metabolism
YOR347C	620	Pyruvate metabolism
YOR347C	1100	Metabolic pathways
YOR347C	1110	Biosynthesis of secondary metabolites
YOR351C	4113	Meiosis - yeast
YOR360C	230	Purine metabolism
YOR361C	3013	RNA transport
YOR362C	3050	Proteasome
YOR368W	4111	Cell cycle - yeast
YOR368W	4113	Meiosis - yeast
YOR369C	3010	Ribosome
YOR374W	10	Glycolysis / Gluconeogenesis
YOR374W	40	Pentose and glucuronate interconversions
YOR374W	71	Fatty acid degradation
YOR374W	280	Valine, leucine and isoleucine degradation
YOR374W	310	Lysine degradation
YOR374W	330	Arginine and proline metabolism
YOR374W	340	Histidine metabolism
YOR374W	380	Tryptophan metabolism
YOR374W	410	beta-Alanine metabolism
YOR374W	561	Glycerolipid metabolism
YOR374W	620	Pyruvate metabolism
YOR374W	640	Propanoate metabolism
YOR374W	903	Limonene and pinene degradation
YOR374W	1100	Metabolic pathways
YOR374W	1110	Biosynthesis of secondary metabolites
YOR375C	250	Alanine, aspartate and glutamate metabolism
YOR375C	330	Arginine and proline metabolism
YOR375C	910	Nitrogen metabolism
YOR375C	1100	Metabolic pathways
YOR388C	630	Glyoxylate and dicarboxylate metabolism
YOR388C	680	Methane metabolism
YOR388C	1100	Metabolic pathways
YOR393W	10	Glycolysis / Gluconeogenesis
YOR393W	680	Methane metabolism
YOR393W	1100	Metabolic pathways
YOR393W	1110	Biosynthesis of secondary metabolites
YOR393W	3018	RNA degradation
YPL273W	270	Cysteine and methionine metabolism
YPL273W	1100	Metabolic pathways
YPL273W	1110	Biosynthesis of secondary metabolites
YPL271W	190	Oxidative phosphorylation
YPL271W	1100	Metabolic pathways
YPL268W	562	Inositol phosphate metabolism
YPL268W	1100	Metabolic pathways
YPL268W	4070	Phosphatidylinositol signaling system
YPL262W	20	Citrate cycle (TCA cycle)
YPL262W	1100	Metabolic pathways
YPL262W	1110	Biosynthesis of secondary metabolites
YPL258C	730	Thiamine metabolism
YPL258C	1100	Metabolic pathways
tW(CCA)P	970	Aminoacyl-tRNA biosynthesis
YPL256C	4111	Cell cycle - yeast
YPL256C	4113	Meiosis - yeast
YPL249C-A	3010	Ribosome
YPL243W	3060	Protein export
YPL240C	4141	Protein processing in endoplasmic reticulum
YPL237W	3013	RNA transport
YPL234C	190	Oxidative phosphorylation
YPL234C	1100	Metabolic pathways
YPL234C	4145	Phagosome
YPL232W	4130	SNARE interactions in vesicular transport
YPL231W	61	Fatty acid biosynthesis
YPL231W	1100	Metabolic pathways
YPL227C	510	N-Glycan biosynthesis
YPL227C	1100	Metabolic pathways
YPL220W	3010	Ribosome
YPL218W	4141	Protein processing in endoplasmic reticulum
YPL217C	3008	Ribosome biogenesis in eukaryotes
YPL214C	730	Thiamine metabolism
YPL214C	1100	Metabolic pathways
YPL213W	3040	Spliceosome
YPL210C	3060	Protein export
YPL206C	564	Glycerophospholipid metabolism
YPL204W	3008	Ribosome biogenesis in eukaryotes
YPL203W	4113	Meiosis - yeast
YPL198W	3010	Ribosome
YPL194W	4111	Cell cycle - yeast
YPL194W	4113	Meiosis - yeast
YPL187W	4011	MAPK signaling pathway - yeast
tE(UUC)P	970	Aminoacyl-tRNA biosynthesis
YPL178W	3013	RNA transport
YPL178W	3015	mRNA surveillance pathway
YPL178W	3040	Spliceosome
YPL175W	563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
YPL175W	1100	Metabolic pathways
YPL172C	190	Oxidative phosphorylation
YPL172C	860	Porphyrin and chlorophyll metabolism
YPL172C	1100	Metabolic pathways
YPL172C	1110	Biosynthesis of secondary metabolites
YPL169C	3008	Ribosome biogenesis in eukaryotes
YPL169C	3013	RNA transport
YPL169C	3015	mRNA surveillance pathway
YPL167C	1100	Metabolic pathways
YPL164C	3430	Mismatch repair
YPL160W	290	Valine, leucine and isoleucine biosynthesis
YPL160W	970	Aminoacyl-tRNA biosynthesis
YPL157W	3013	RNA transport
YPL153C	4111	Cell cycle - yeast
YPL153C	4113	Meiosis - yeast
YPL151C	3040	Spliceosome
YPL149W	4140	Regulation of autophagy
YPL143W	3010	Ribosome
YPL140C	4011	MAPK signaling pathway - yeast
YPL132W	190	Oxidative phosphorylation
YPL132W	1100	Metabolic pathways
YPL131W	3010	Ribosome
YPL129W	3022	Basal transcription factors
YPL126W	3008	Ribosome biogenesis in eukaryotes
YPL122C	3022	Basal transcription factors
YPL122C	3420	Nucleotide excision repair
YPL120W	4140	Regulation of autophagy
YPL117C	900	Terpenoid backbone biosynthesis
YPL117C	1100	Metabolic pathways
YPL117C	1110	Biosynthesis of secondary metabolites
tM(CAU)P	970	Aminoacyl-tRNA biosynthesis
YPL111W	330	Arginine and proline metabolism
YPL111W	1100	Metabolic pathways
YPL111W	1110	Biosynthesis of secondary metabolites
YPL106C	4141	Protein processing in endoplasmic reticulum
YPL104W	970	Aminoacyl-tRNA biosynthesis
YPL097W	970	Aminoacyl-tRNA biosynthesis
YPL096C-A	563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
YPL096C-A	1100	Metabolic pathways
YPL096W	4141	Protein processing in endoplasmic reticulum
YPL094C	3060	Protein export
YPL094C	4141	Protein processing in endoplasmic reticulum
YPL093W	3008	Ribosome biogenesis in eukaryotes
YPL091W	480	Glutathione metabolism
YPL090C	3010	Ribosome
YPL089C	4011	MAPK signaling pathway - yeast
YPL087W	600	Sphingolipid metabolism
YPL081W	3010	Ribosome
YPL079W	3010	Ribosome
YPL078C	190	Oxidative phosphorylation
YPL078C	1100	Metabolic pathways
YPL076W	563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
YPL076W	1100	Metabolic pathways
YPL069C	900	Terpenoid backbone biosynthesis
YPL069C	1100	Metabolic pathways
YPL069C	1110	Biosynthesis of secondary metabolites
YPL065W	4144	Endocytosis
YPL061W	10	Glycolysis / Gluconeogenesis
YPL061W	40	Pentose and glucuronate interconversions
YPL061W	71	Fatty acid degradation
YPL061W	280	Valine, leucine and isoleucine degradation
YPL061W	310	Lysine degradation
YPL061W	330	Arginine and proline metabolism
YPL061W	340	Histidine metabolism
YPL061W	380	Tryptophan metabolism
YPL061W	410	beta-Alanine metabolism
YPL061W	561	Glycerolipid metabolism
YPL061W	620	Pyruvate metabolism
YPL061W	640	Propanoate metabolism
YPL061W	903	Limonene and pinene degradation
YPL061W	1100	Metabolic pathways
YPL061W	1110	Biosynthesis of secondary metabolites
tC(GCA)P1	970	Aminoacyl-tRNA biosynthesis
YPL053C	513	Various types of N-glycan biosynthesis
YPL053C	1100	Metabolic pathways
YPL050C	513	Various types of N-glycan biosynthesis
YPL050C	1100	Metabolic pathways
YPL049C	4011	MAPK signaling pathway - yeast
YPL046C	4120	Ubiquitin mediated proteolysis
YPL043W	3008	Ribosome biogenesis in eukaryotes
YPL040C	290	Valine, leucine and isoleucine biosynthesis
YPL040C	970	Aminoacyl-tRNA biosynthesis
YPL036W	190	Oxidative phosphorylation
YPL031C	4111	Cell cycle - yeast
YPL028W	71	Fatty acid degradation
YPL028W	72	Synthesis and degradation of ketone bodies
YPL028W	280	Valine, leucine and isoleucine degradation
YPL028W	310	Lysine degradation
YPL028W	380	Tryptophan metabolism
YPL028W	620	Pyruvate metabolism
YPL028W	630	Glyoxylate and dicarboxylate metabolism
YPL028W	640	Propanoate metabolism
YPL028W	650	Butanoate metabolism
YPL028W	900	Terpenoid backbone biosynthesis
YPL028W	1100	Metabolic pathways
YPL028W	1110	Biosynthesis of secondary metabolites
YPL023C	670	One carbon pool by folate
YPL023C	680	Methane metabolism
YPL023C	1100	Metabolic pathways
YPL022W	3420	Nucleotide excision repair
YPL017C	10	Glycolysis / Gluconeogenesis
YPL017C	20	Citrate cycle (TCA cycle)
YPL017C	260	Glycine, serine and threonine metabolism
YPL017C	280	Valine, leucine and isoleucine degradation
YPL017C	620	Pyruvate metabolism
YPL017C	1100	Metabolic pathways
YPL017C	1110	Biosynthesis of secondary metabolites
YPL002C	4144	Endocytosis
YPR001W	20	Citrate cycle (TCA cycle)
YPR001W	630	Glyoxylate and dicarboxylate metabolism
YPR001W	1100	Metabolic pathways
YPR001W	1110	Biosynthesis of secondary metabolites
YPR002W	640	Propanoate metabolism
tF(GAA)P1	970	Aminoacyl-tRNA biosynthesis
YPR006C	630	Glyoxylate and dicarboxylate metabolism
YPR006C	1100	Metabolic pathways
YPR007C	4113	Meiosis - yeast
tG(GCC)P1	970	Aminoacyl-tRNA biosynthesis
YPR010C	230	Purine metabolism
YPR010C	240	Pyrimidine metabolism
YPR010C	1100	Metabolic pathways
YPR010C	3020	RNA polymerase
tK(CUU)P	970	Aminoacyl-tRNA biosynthesis
YPR016C	3008	Ribosome biogenesis in eukaryotes
YPR019W	3030	DNA replication
YPR019W	4111	Cell cycle - yeast
YPR019W	4113	Meiosis - yeast
YPR020W	190	Oxidative phosphorylation
YPR020W	1100	Metabolic pathways
YPR025C	3420	Nucleotide excision repair
YPR026W	500	Starch and sucrose metabolism
tF(GAA)P2	970	Aminoacyl-tRNA biosynthesis
YPR033C	970	Aminoacyl-tRNA biosynthesis
YPR035W	250	Alanine, aspartate and glutamate metabolism
YPR035W	330	Arginine and proline metabolism
YPR035W	910	Nitrogen metabolism
YPR035W	1100	Metabolic pathways
YPR036W	190	Oxidative phosphorylation
YPR036W	1100	Metabolic pathways
YPR036W	4145	Phagosome
YPR041W	3013	RNA transport
YPR043W	3010	Ribosome
YPR047W	970	Aminoacyl-tRNA biosynthesis
YPR049C	4140	Regulation of autophagy
YPR056W	3022	Basal transcription factors
YPR056W	3420	Nucleotide excision repair
YPR060C	400	Phenylalanine, tyrosine and tryptophan biosynthesis
YPR060C	1100	Metabolic pathways
YPR060C	1110	Biosynthesis of secondary metabolites
YPR062W	240	Pyrimidine metabolism
YPR062W	330	Arginine and proline metabolism
YPR062W	1100	Metabolic pathways
YPR066W	4120	Ubiquitin mediated proteolysis
YPR069C	270	Cysteine and methionine metabolism
YPR069C	330	Arginine and proline metabolism
YPR069C	410	beta-Alanine metabolism
YPR069C	480	Glutathione metabolism
YPR069C	1100	Metabolic pathways
tS(UGA)P	970	Aminoacyl-tRNA biosynthesis
YPR073C	740	Riboflavin metabolism
YPR074C	30	Pentose phosphate pathway
YPR074C	1100	Metabolic pathways
YPR074C	1110	Biosynthesis of secondary metabolites
YPR079W	4145	Phagosome
YPR080W	3013	RNA transport
YPR081C	970	Aminoacyl-tRNA biosynthesis
YPR082C	3040	Spliceosome
YPR086W	3022	Basal transcription factors
YPR088C	3060	Protein export
YPR094W	3040	Spliceosome
YPR102C	3010	Ribosome
YPR103W	3050	Proteasome
YPR107C	3015	mRNA surveillance pathway
YPR108W	3050	Proteasome
tT(UGU)P	970	Aminoacyl-tRNA biosynthesis
YPR110C	230	Purine metabolism
YPR110C	240	Pyrimidine metabolism
YPR110C	1100	Metabolic pathways
YPR110C	3020	RNA polymerase
YPR111W	4111	Cell cycle - yeast
YPR113W	562	Inositol phosphate metabolism
YPR113W	564	Glycerophospholipid metabolism
YPR113W	1100	Metabolic pathways
YPR113W	4070	Phosphatidylinositol signaling system
YPR118W	270	Cysteine and methionine metabolism
YPR118W	1100	Metabolic pathways
tK(UUU)P	970	Aminoacyl-tRNA biosynthesis
YPR119W	4111	Cell cycle - yeast
YPR120C	4111	Cell cycle - yeast
YPR120C	4113	Meiosis - yeast
tC(GCA)P2	970	Aminoacyl-tRNA biosynthesis
YPR127W	750	Vitamin B6 metabolism
YPR127W	1100	Metabolic pathways
YPR132W	3010	Ribosome
tN(GUU)P	970	Aminoacyl-tRNA biosynthesis
YPR140W	564	Glycerophospholipid metabolism
tI(AAU)P1	970	Aminoacyl-tRNA biosynthesis
YPR145W	250	Alanine, aspartate and glutamate metabolism
YPR145W	910	Nitrogen metabolism
YPR145W	1100	Metabolic pathways
YPR145W	1110	Biosynthesis of secondary metabolites
tA(AGC)P	970	Aminoacyl-tRNA biosynthesis
tG(GCC)P2	970	Aminoacyl-tRNA biosynthesis
YPR160W	500	Starch and sucrose metabolism
YPR162C	4111	Cell cycle - yeast
YPR162C	4113	Meiosis - yeast
YPR163C	3013	RNA transport
YPR165W	4011	MAPK signaling pathway - yeast
YPR167C	920	Sulfur metabolism
YPR167C	1100	Metabolic pathways
tI(AAU)P2	970	Aminoacyl-tRNA biosynthesis
YPR173C	4144	Endocytosis
YPR175W	230	Purine metabolism
YPR175W	240	Pyrimidine metabolism
YPR175W	1100	Metabolic pathways
YPR175W	3030	DNA replication
YPR175W	3410	Base excision repair
YPR175W	3420	Nucleotide excision repair
YPR178W	3040	Spliceosome
YPR180W	4120	Ubiquitin mediated proteolysis
YPR181C	4141	Protein processing in endoplasmic reticulum
YPR182W	3040	Spliceosome
YPR183W	510	N-Glycan biosynthesis
YPR183W	1100	Metabolic pathways
YPR184W	500	Starch and sucrose metabolism
YPR184W	1100	Metabolic pathways
YPR185W	4140	Regulation of autophagy
YPR187W	230	Purine metabolism
YPR187W	240	Pyrimidine metabolism
YPR187W	1100	Metabolic pathways
YPR187W	3020	RNA polymerase
YPR189W	3018	RNA degradation
YPR190C	230	Purine metabolism
YPR190C	240	Pyrimidine metabolism
YPR190C	1100	Metabolic pathways
YPR190C	3020	RNA polymerase
YPR191W	190	Oxidative phosphorylation
YPR191W	1100	Metabolic pathways
tW(UCA)Q	970	Aminoacyl-tRNA biosynthesis
Q0065	190	Oxidative phosphorylation
Q0065	1100	Metabolic pathways
Q0070	190	Oxidative phosphorylation
Q0070	1100	Metabolic pathways
Q0045	190	Oxidative phosphorylation
Q0045	1100	Metabolic pathways
Q0080	190	Oxidative phosphorylation
Q0080	1100	Metabolic pathways
Q0085	190	Oxidative phosphorylation
Q0085	1100	Metabolic pathways
tE(UUC)Q	970	Aminoacyl-tRNA biosynthesis
Q0110	190	Oxidative phosphorylation
Q0110	1100	Metabolic pathways
Q0115	190	Oxidative phosphorylation
Q0115	1100	Metabolic pathways
Q0120	190	Oxidative phosphorylation
Q0120	1100	Metabolic pathways
Q0105	190	Oxidative phosphorylation
Q0105	1100	Metabolic pathways
Q0130	190	Oxidative phosphorylation
Q0130	1100	Metabolic pathways
tT(UGU)Q1	970	Aminoacyl-tRNA biosynthesis
Q0250	190	Oxidative phosphorylation
Q0250	1100	Metabolic pathways
tF(GAA)Q	970	Aminoacyl-tRNA biosynthesis
Q0275	190	Oxidative phosphorylation
Q0275	1100	Metabolic pathways
tL(UAA)B1	970	Aminoacyl-tRNA biosynthesis
YBL105C	4011	MAPK signaling pathway - yeast
YBL105C	4070	Phosphatidylinositol signaling system
tF(GAA)B	970	Aminoacyl-tRNA biosynthesis
YBL099W	190	Oxidative phosphorylation
YBL099W	1100	Metabolic pathways
YBL098W	380	Tryptophan metabolism
YBL098W	1100	Metabolic pathways
YBL097W	4111	Cell cycle - yeast
YBL092W	3010	Ribosome
YBL087C	3010	Ribosome
YBL084C	4111	Cell cycle - yeast
YBL084C	4113	Meiosis - yeast
YBL084C	4120	Ubiquitin mediated proteolysis
YBL082C	510	N-Glycan biosynthesis
YBL082C	513	Various types of N-glycan biosynthesis
YBL082C	1100	Metabolic pathways
YBL080C	970	Aminoacyl-tRNA biosynthesis
YBL080C	1100	Metabolic pathways
YBL079W	3013	RNA transport
YBL078C	4140	Regulation of autophagy
YBL076C	290	Valine, leucine and isoleucine biosynthesis
YBL076C	970	Aminoacyl-tRNA biosynthesis
YBL075C	3040	Spliceosome
YBL075C	4141	Protein processing in endoplasmic reticulum
YBL075C	4144	Endocytosis
YBL072C	3010	Ribosome
YBL068W	30	Pentose phosphate pathway
YBL068W	230	Purine metabolism
YBL068W	1100	Metabolic pathways
YBL068W	1110	Biosynthesis of secondary metabolites
YBL058W	4141	Protein processing in endoplasmic reticulum
YBL045C	190	Oxidative phosphorylation
YBL045C	1100	Metabolic pathways
YBL041W	3050	Proteasome
YBL039C	240	Pyrimidine metabolism
YBL039C	1100	Metabolic pathways
YBL037W	4144	Endocytosis
YBL035C	230	Purine metabolism
YBL035C	240	Pyrimidine metabolism
YBL035C	1100	Metabolic pathways
YBL035C	3030	DNA replication
YBL033C	740	Riboflavin metabolism
